FIPS,State,County,Low_Access_Overall,Low_Access_low_income,Low_Access_Child,Low_Access_Seniors,Grocery,Supercenter,Convenience,Specialized,SNAP_store,WIC_store,Fast_food,Full_service,Assistance,Low_insecurity,Very_low_insecurity,Farm,Adult_db,Adult_ob,Recreation_facility,White,Black,Hispanic,Asian,American Indian or Alaska Native,Hawaiian or Pacific Islander,>=65,<18,Poverty_rate
1001,AL,Autauga,32.06225475,11.991125,8.460485386,3.996278765,0.072208683,0.0180522,0.5415651229999999,0.0361043,0.884221137,0.09006739999999999,0.649878148,0.523512952,1.055597277,17.6,7.3,0.01804533,13.0,34.1,0.090260854,77.24615638,17.58259882,2.400542413,0.855765883,0.39764710200000003,0.040314453,11.99538216,26.77795899,12.7
1003,AL,Baldwin,16.76748933,5.424426597,3.8449360410000004,3.061840062,0.14491957,0.0299834,0.589672732,0.12992789,1.0500423909999999,0.1415168,0.659633903,1.104387065,1.055597277,17.6,7.3,0.019178857,10.4,27.4,0.12493066300000001,83.50478699,9.308424547000001,4.3848242939999995,0.735193263,0.628754835,0.043343482999999995,16.77118481,22.98740844,12.9
1005,AL,Barbour,22.10556007,10.73966657,3.758341321,3.001694513,0.185963477,0.037192699999999995,0.706661212,0.074385391,1.502021909,0.2573435,0.818239298,0.55789043,1.055597277,17.6,7.3,0.154053534,18.4,44.4,0.0,46.75310485,46.69118986,5.051535128,0.389700259,0.21852350899999998,0.08740940400000001,14.23680664,21.90698183,32.0
1007,AL,Bibb,4.230324421000001,2.601627008,1.0152418509999999,0.600865071,0.22216297899999998,0.044432599999999996,0.666488936,0.044432599999999996,0.927438915,0.2212683,0.22216297899999998,0.22216297899999998,1.055597277,17.6,7.3,0.044163759000000004,14.8,40.3,0.044432599999999996,75.02072878,21.9245036,1.7717652190000002,0.09600698199999999,0.27929303899999997,0.030547676,12.68164957,22.69692341,22.2
1009,AL,Blount,6.497380137,2.880149823,1.58872006,0.882583096,0.103951905,0.0173253,0.46778357200000004,0.0,1.109108567,0.1037596,0.363831667,0.259879762,1.055597277,17.6,7.3,0.017329821000000002,14.1,34.6,0.051976,88.88733819,1.263040368,8.070199922999999,0.200621053,0.497191305,0.031401556000000004,14.72209623,24.60835281,14.7
1011,AL,Bullock,37.95034236,19.74335074,5.6506816010000005,5.190941491,0.185804534,0.0,0.2787068,0.0,1.158077598,0.190949,0.2787068,0.092902267,1.055597277,17.6,7.3,0.096506466,19.6,43.0,0.0,21.916804100000004,69.97434488,7.119296317000001,0.18325087,0.18325087,0.036650174,13.45977643,22.26498076,39.6
1013,AL,Butler,6.226804584,2.9261219310000004,1.260992579,1.216251206,0.147812377,0.049270800000000003,1.034686638,0.0,1.550155044,0.1969764,0.837603469,0.492707923,1.055597277,17.6,7.3,0.100010001,17.7,36.3,0.049270800000000003,54.06024729,43.189955600000005,0.911825082,0.8306678759999999,0.281663245,0.033417672999999995,16.6563231,24.13710794,25.8
1015,AL,Calhoun,23.43385181,9.178566583,5.201704017,3.757474335,0.23292729199999998,0.0258808,0.638393319,0.0086269,1.361125946,0.16198339999999997,0.888574485,0.66427413,1.055597277,17.6,7.3,0.017450332,14.9,32.2,0.060388599999999994,73.61350066,20.3901427,3.283237189,0.699996627,0.40481732600000003,0.07927672599999999,14.32884661,22.87723915,20.0
1017,AL,Chambers,20.84321414,10.32855828,4.662732281,3.7013984360000003,0.205423172,0.0293462,0.67496185,0.0586923,1.152380109,0.17613900000000002,0.763000352,0.469538678,1.055597277,17.6,7.3,0.029548208,16.4,39.7,0.0,58.14116616,38.59710653,1.566564372,0.485167324,0.166593599,0.020458863,16.6768961,22.51351746,22.4
1019,AL,Cherokee,0.39833198200000003,0.2211124,0.072136677,0.053018598,0.19203441300000001,0.0384069,0.691323885,0.0384069,1.360544205,0.23058299999999998,0.576103238,0.42247570799999995,1.055597277,17.6,7.3,0.038872692,13.3,33.6,0.0384069,92.07356959,4.640424795,1.231290161,0.18854130600000002,0.469429374,0.003847782,17.89603294,21.41675324,19.4
